2014-11-03 21:53:35 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-03 21:53:36 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-03 21:53:36 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-03 21:53:37 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-03 21:53:37 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-03 21:53:39 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-03 21:53:45 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-03 21:53:45 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-03 21:53:46 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-03 21:53:47 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-03 21:53:50 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-03 21:53:52 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-03 21:53:52 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-03 21:53:54 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-03 21:53:55 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-03 21:53:55 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-03 21:53:56 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-03 21:53:57 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-03 21:53:58 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-03 21:54:00 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-03 22:01:02 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-03 22:01:33 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-04 02:13:23 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-11-04 02:19:28 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
